,id,content
744,171812,Santa Cristina d'Aro
745,082460,Santa Eugènia de Berga
746,082476,Santa Eulàlia de Riuprimer
747,082482,Santa Eulàlia de Ronçana
748,082495,Santa Fe del Penedès
749,171827,Santa Llogaia d'Àlguema
750,082508,Santa Margarida de Montbui
751,082515,Santa Margarida i els Monjos
752,082589,Santa Maria d'Oló
753,082536,Santa Maria de Besora
754,082567,Santa Maria de Martorelles
755,082554,Santa Maria de Merlès
756,082573,Santa Maria de Miralles
757,082592,Santa Maria de Palautordera
758,431401,Santa Oliva
759,171848,Santa Pau
760,082606,Santa Perpètua de Mogoda
761,082613,Santa Susanna
762,081923,Santpedor
763,431423,Sarral
764,171864,Sarrià de Ter
765,252017,Sarroca de Bellera
766,252000,Sarroca de Lleida
767,171870,"Saus, Camallera i Llampaies"
768,431439,Savallà del Comtat
769,431444,"Secuita, la"
770,171886,"Selva de Mar, la"
771,431457,"Selva del Camp, la"
772,431460,Senan
773,430445,"Sénia, la"
774,252022,Senterada
775,250352,"Sentiu de Sió, la"
776,082671,Sentmenat
777,171903,Serinyà
778,252043,Seròs
779,171910,Serra de Daró
780,171925,Setcases
781,252038,"Seu d'Urgell, la"
782,082690,Seva
783,252056,Sidamon
784,171931,Sils
785,082704,Sitges
786,170524,Siurana
787,082711,Sobremunt
788,252069,"Soleràs, el"
789,431476,Solivella
790,252075,Solsona
791,082726,Sora
792,252081,Soriguera
793,252094,Sort
794,252108,Soses
795,082732,Subirats
796,252115,Sudanell
797,252120,Sunyer
798,082747,Súria
799,171946,Susqueda
800,082763,Tagamanent
801,082779,Talamanca
802,252154,Talarn
803,252167,Talavera
804,171959,"Tallada d'Empordà, la"
805,082785,Taradell
806,431482,Tarragona
807,252173,Tàrrega
808,252189,Tarrés
809,252192,Tarroja de Segarra
810,082750,Tavèrnoles
811,082802,Tavertet
812,082819,Teià
813,252206,Térmens
814,171962,Terrades
815,082798,Terrassa
816,082824,Tiana
817,252213,Tírvia
818,252228,Tiurana
819,431495,Tivenys
820,431508,Tivissa
821,082830,Tona
822,252234,Torà
823,082845,Tordera
824,082858,Torelló
825,252249,"Torms, els"
826,252252,Tornabous
827,252271,"Torre de Cabdella, la"
828,082861,"Torre de Claramunt, la"
829,431515,"Torre de Fontaubella, la"
830,431520,"Torre de l'Espanyol, la"
831,252332,Torre-serona
832,252265,Torrebesses
833,431536,Torredembarra
834,252287,Torrefarrera
835,259078,Torrefeta i Florejacs
836,252304,Torregrossa
837,252311,Torrelameu
838,082877,Torrelavit
839,082883,Torrelles de Foix
840,082896,Torrelles de Llobregat
841,171978,Torrent
842,252326,Torres de Segre
843,171984,Torroella de Fluvià
844,171997,Torroella de Montgrí
845,431541,Torroja del Priorat
846,172001,Tortellà
847,431554,Tortosa
848,172018,Toses
849,172023,Tossa de Mar
850,252347,Tremp
851,172044,Ullà
852,082900,Ullastrell
853,172057,Ullastret
854,431567,Ulldecona
855,431573,Ulldemolins
856,172039,Ultramort
857,172060,Urús
858,082917,Vacarisses
859,170144,"Vajol, la"
860,172076,"Vall d'en Bas, la"
861,172082,"Vall de Bianya, la"
862,250432,"Vall de Boí, la"
863,259010,Vall de Cardós
864,172095,Vall-llobrega
865,082922,Vallbona d'Anoia
866,252385,Vallbona de les Monges
867,082938,Vallcebre
868,431589,Vallclara
869,252402,Vallfogona de Balaguer
870,171707,Vallfogona de Ripollès
871,431592,Vallfogona de Riucorb
872,082943,Vallgorguina
873,082956,Vallirana
874,431606,Vallmoll
875,082969,Vallromanes
876,431613,Valls
877,259062,"Valls d'Aguilar, les"
878,252398,"Valls de Valira, les"
879,431628,Vandellòs i l'Hospitalet de l'Infant
880,259097,"Vansa i Fórnols, la"
881,082975,Veciana
882,431634,"Vendrell, el"
883,172109,Ventalló
884,252424,Verdú
885,172116,Verges
886,431649,Vespella de Gaià
887,082981,Vic
888,172121,Vidrà
889,172137,Vidreres
890,252430,Vielha e Mijaran
891,431704,Vila-rodona
892,172305,Vila-sacra
893,252521,Vila-sana
894,431711,Vila-seca
895,431652,Vilabella
896,172142,Vilabertran
897,172155,Vilablareix
898,082994,Vilada
899,172174,Viladamat
900,172168,Viladasens
901,083015,Viladecans
902,083008,Viladecavalls
903,172180,Vilademuls
904,172207,Viladrau
905,172214,Vilafant
906,083054,Vilafranca del Penedès
907,252445,Vilagrassa
908,172235,Vilajuïga
909,431750,Vilalba dels Arcs
910,083067,Vilalba Sasserra
911,252458,Vilaller
912,172240,Vilallonga de Ter
913,431665,Vilallonga del Camp
914,172253,Vilamacolum
915,172266,Vilamalla
916,172272,Vilamaniscle
917,252477,Vilamòs
918,172288,Vilanant
919,431671,Vilanova d'Escornalbou
920,252483,Vilanova de Bellpuig
921,252496,Vilanova de l'Aguda
922,252542,Vilanova de la Barca
923,252509,Vilanova de Meià
924,431687,Vilanova de Prades
925,083036,Vilanova de Sau
926,252516,Vilanova de Segrià
927,083020,Vilanova del Camí
928,089024,Vilanova del Vallès
929,083073,Vilanova i la Geltrú
930,431690,Vilaplana
931,082140,Vilassar de Dalt
932,082191,Vilassar de Mar
933,172229,Vilaür
934,431726,Vilaverd
935,431732,"Vilella Alta, la"
936,431747,"Vilella Baixa, la"
937,172333,Vilobí d'Onyar
938,083041,Vilobí del Penedès
939,172327,Vilopriu
940,252537,"Vilosell, el"
941,431763,Vimbodí i Poblet
942,252555,Vinaixa
943,431779,Vinebre
944,431785,Vinyols i els Arcs
945,083089,Viver i Serrateix
946,430521,Xerta
947,01,Alt Camp
948,02,Alt Empordà
949,03,Alt Penedès
950,04,Alt Urgell
951,05,Alta Ribagorça
952,06,Anoia
953,07,Bages
954,08,Baix Camp
955,09,Baix Ebre
956,10,Baix Empordà
957,11,Baix Llobregat
958,12,Baix Penedès
959,13,Barcelonès
960,14,Berguedà
961,15,Cerdanya
962,16,Conca de Barberà
963,17,Garraf
964,18,Garrigues
965,19,Garrotxa
966,20,Gironès
967,21,Maresme
968,22,Montsià
969,23,Noguera
970,24,Osona
971,25,Pallars Jussà
972,26,Pallars Sobirà
973,27,Pla d'Urgell
974,28,Pla de l'Estany
975,29,Priorat
976,30,Ribera d'Ebre
977,31,Ripollès
978,32,Segarra
979,33,Segrià
980,34,Selva
981,35,Solsonès
982,36,Tarragonès
983,37,Terra Alta
984,38,Urgell
985,39,Aran
986,40,Vallès Occidental
987,41,Vallès Oriental
988,42,Moianès
989,09,Catalunya
