,Name,Status,Province,PopulationCensus1981-03-01,PopulationCensus1991-03-01,PopulationCensus2001-11-01,PopulationCensus2011-11-01,PopulationEstimate2021-01-01,Unnamed: 8
815,Súria (Suria),Municipality,Barcelona,6839,6540,6022,6229,5923,→
816,Susqueda,Municipality,Girona,198,98,98,106,99,→
817,Tagamanent,Municipality,Barcelona,132,151,217,317,325,→
818,Talamanca,Municipality,Barcelona,60,76,100,156,222,→
819,Talarn,Municipality,Lleida,436,371,336,423,489,→
820,Talavera,Municipality,Lleida,359,315,301,297,287,→
821,Taradell,Municipality,Barcelona,4114,4593,5270,6190,6687,→
822,Tarragona (→ La Canonja),Municipality,Tarragona,109112,110153,113129,133223,135436,→
823,Tàrrega (Tárrega),Municipality,Lleida,11046,11233,12848,16676,17649,→
824,Tarrés,Municipality,Lleida,109,101,116,109,105,→
825,Tarroja de Segarra,Municipality,Lleida,225,200,171,172,187,→
826,Tavèrnoles (Tabérnolas),Municipality,Barcelona,187,208,273,312,329,→
827,Tavertet,Municipality,Barcelona,97,132,146,138,113,→
828,Teià (Teyá),Municipality,Barcelona,2258,3773,5450,6122,6532,→
829,Térmens (Termens),Municipality,Lleida,1422,1399,1420,1572,1330,→
830,Terrades,Municipality,Girona,200,184,210,302,334,→
831,Terrassa (Tarrasa),Municipality,Barcelona,155614,158063,173775,214406,223011,→
832,Tiana,Municipality,Barcelona,3028,4685,6082,8108,9009,→
833,Tírvia (Tirvia),Municipality,Lleida,106,107,119,155,131,→
834,Tiurana,Municipality,Lleida,199,233,32,79,73,→
835,Tivenys,Municipality,Tarragona,1121,1049,898,916,900,→
836,Tivissa (Tivisa),Municipality,Tarragona,1960,1786,1773,1774,1639,→
837,Tona,Municipality,Barcelona,5124,5522,6072,8056,8368,→
838,Torà (Torá),Municipality,Lleida,1279,1136,1159,1302,1209,→
839,Tordera,Municipality,Barcelona,7560,8156,10116,16244,17788,→
840,Torelló,Municipality,Barcelona,10941,11460,12286,13857,14553,→
841,Tornabous,Municipality,Lleida,958,884,796,914,826,→
842,Torrebesses (Torrebeses),Municipality,Lleida,380,359,323,302,298,→
843,Torredembarra,Municipality,Tarragona,5253,6238,11187,15227,17057,→
844,Torrefarrera,Municipality,Lleida,1443,1524,1992,4343,4702,→
845,Torrefeta i Florejacs (Torreflor),Municipality,Lleida,739,731,628,621,602,→
846,Torregrossa (Torregrosa),Municipality,Lleida,2341,2200,2161,2246,2157,→
847,Torrelameu,Municipality,Lleida,611,603,578,709,759,→
848,Torrelavit,Municipality,Barcelona,1176,1231,1123,1381,1429,→
849,Torrelles de Foix (Torrellas de Foix),Municipality,Barcelona,1128,1277,1713,2401,2479,→
850,Torrelles de Llobregat (Torrellas de Llobregat),Municipality,Barcelona,1475,2352,3759,5696,6126,→
851,Torrent,Municipality,Girona,206,182,179,191,160,→
852,Torres de Segre,Municipality,Lleida,1850,1826,1838,2161,2381,→
853,Torre-serona (Torreserona),Municipality,Lleida,295,304,337,361,383,→
854,Torroella de Fluvià (Torroella de Fluviá),Municipality,Girona,285,297,399,692,726,→
